slug,name,short_name,logo_url
dh-bach-khoa-tphcm,ĐH Bách Khoa TP.HCM,HCMUT,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/de/HCMUT_official_logo.png/250px-HCMUT_official_logo.png
dh-khoa-hoc-tu-nhien-tphcm,ĐH Khoa học Tự nhiên TP.HCM,HCMUS,https://thumb.wikimedia.org/wikipedia/vi/thumb/c/ca/Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Khoa_h%E1%BB%8Dc_T%E1%BB%B1_nhi%C3%AAn%2C_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Qu%E1%BB%91c_gia_Th%C3%A0nh_ph%E1%BB%91_H%E1%BB%93_Ch%C3%AD_Minh.svg/3840px-Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Khoa_h%E1%BB%8Dc_T%E1%BB%B1_nhi%C3%AAn%2C_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Qu%E1%BB%91c_gia_Th%C3%A0nh_ph%E1%BB%91_H%E1%BB%93_Ch%C3%AD_Minh.svg.png
uit,ĐH Công nghệ Thông tin (ĐHQG-HCM),UIT,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/00/Logo_UIT_updated.svg/330px-Logo_UIT_updated.svg.png
uel,ĐH Kinh tế – Luật (ĐHQG-HCM),UEL,https://upload.wikimedia.org/wikipedia/commons/8/86/Logo_Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Kinh_t%E1%BA%BF_-_Lu%E1%BA%ADt.png
dh-quoc-te-tphcm,ĐH Quốc tế (ĐHQG-HCM),IU,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/07/Logo_IUHCM.png/250px-Logo_IUHCM.png
ueh,ĐH Kinh tế TP.HCM,UEH,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/71/Logo_UEH_xanh.png/330px-Logo_UEH_xanh.png
ftu2,ĐH Ngoại thương CS2 TP.HCM,FTU2,https://upload.wikimedia.org/wikipedia/vi/8/8e/FTU_logo_2020.png
hcmute,ĐH Sư phạm Kỹ thuật TP.HCM,HCMUTE,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b9/Logo_Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_H%E1%BB%8Dc_S%C6%B0_Ph%E1%BA%A1m_K%E1%BB%B9_Thu%E1%BA%ADt_TP_H%E1%BB%93_Ch%C3%AD_Minh.png/250px-Logo_Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_H%E1%BB%8Dc_S%C6%B0_Ph%E1%BA%A1m_K%E1%BB%B9_Thu%E1%BA%ADt_TP_H%E1%BB%93_Ch%C3%AD_Minh.png
tdtu,ĐH Tôn Đức Thắng,TDTU,https://thumb.wikimedia.org/wikipedia/vi/thumb/1/1b/T%C4%90T_logo.png/330px-T%C4%90T_logo.png
hutech,ĐH Công nghệ TP.HCM,HUTECH,https://thumb.wikimedia.org/wikipedia/vi/thumb/8/81/Logo_Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_C%C3%B4ng_ngh%E1%BB%87_Th%C3%A0nh_ph%E1%BB%91_H%E1%BB%93_Ch%C3%AD_Minh.png/250px-Logo_Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_C%C3%B4ng_ngh%E1%BB%87_Th%C3%A0nh_ph%E1%BB%91_H%E1%BB%93_Ch%C3%AD_Minh.png
dh-van-lang,ĐH Văn Lang,VLU,https://vuainnhanh.com/wp-content/uploads/2023/02/logo-van-lang-896x1024-1.png
dh-nguyen-tat-thanh,ĐH Nguyễn Tất Thành,NTTU,https://congtyquatang.com.vn/wp-content/uploads/2026/02/logo-nttu-vector-thumbnail.jpg
iuh,ĐH Công nghiệp TP.HCM,IUH,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bf/Logo_IUH.png/330px-Logo_IUH.png
buh,ĐH Ngân hàng TP.HCM,BUH,https://inkythuatso.com/uploads/thumbnails/800/2021/12/logo-buh-inkythuatso-20-08-49-54.jpg
ufm,ĐH Tài chính – Marketing,UFM,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/49/Logo_UFM.svg/250px-Logo_UFM.svg.png
ou-tphcm,ĐH Mở TP.HCM,OU,https://upload.wikimedia.org/wikipedia/vi/b/b2/Logo_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_M%E1%BB%9F_TPHCM.png
dh-luat-tphcm,ĐH Luật TP.HCM,ULAW,https://upload.wikimedia.org/wikipedia/vi/1/12/Logo_ULaw.png
ump,ĐH Y Dược TP.HCM,UMP,https://thumb.wikimedia.org/wikipedia/vi/thumb/6/64/Logo_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Y_D%C6%B0%E1%BB%A3c_Th%C3%A0nh_ph%E1%BB%91_H%E1%BB%93_Ch%C3%AD_Minh.svg/250px-Logo_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Y_D%C6%B0%E1%BB%A3c_Th%C3%A0nh_ph%E1%BB%91_H%E1%BB%93_Ch%C3%AD_Minh.svg.png
dh-y-khoa-pham-ngoc-thach,ĐH Y khoa Phạm Ngọc Thạch,PNTU,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4a/Logo_of_Pham_Ngoc_Thach_University_of_Medicine.jpg/250px-Logo_of_Pham_Ngoc_Thach_University_of_Medicine.jpg
ussh-tphcm,ĐH KHXH&NV TP.HCM (ĐHQG-HCM),USSH,https://thumb.wikimedia.org/wikipedia/vi/thumb/4/49/Logo_Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Khoa_h%E1%BB%8Dc_X%C3%A3_h%E1%BB%99i_v%C3%A0_Nh%C3%A2n_v%C4%83n%2C_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Qu%E1%BB%91c_gia_Th%C3%A0nh_ph%E1%BB%91_H%E1%BB%93_Ch%C3%AD_Minh.svg/330px-Logo_Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Khoa_h%E1%BB%8Dc_X%C3%A3_h%E1%BB%99i_v%C3%A0_Nh%C3%A2n_v%C4%83n%2C_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Qu%E1%BB%91c_gia_Th%C3%A0nh_ph%E1%BB%91_H%E1%BB%93_Ch%C3%AD_Minh.svg.png
dh-gtvt-tphcm,ĐH Giao thông Vận tải TP.HCM,UT-HCMC,https://mayhaianh.com/wp-content/uploads/2025/05/logo-truong-dai-hoc-giao-thong-van-tai.jpg
huit,ĐH Công Thương TP.HCM,HUIT,https://giaoduc247.vn/uploads/082021/images/HUIT(1).jpeg
dh-fpt-tphcm,ĐH FPT TP.HCM,FPTU-HCM,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/11/FPT_logo_2010.svg/330px-FPT_logo_2010.svg.png
rmit-vietnam,ĐH RMIT Việt Nam,RMIT,https://www.unimates.edu.vn/wp-content/uploads/2020/06/60419149_10157037848595309_3394578448079912960_n.png
dh-hoa-sen,ĐH Hoa Sen,HSU,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/ca/Logo-E-BHSU.png/330px-Logo-E-BHSU.png
hust,ĐH Bách Khoa Hà Nội,HUST,https://thumb.wikimedia.org/wikipedia/vi/thumb/e/ef/Logo_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_B%C3%A1ch_Khoa_H%C3%A0_N%E1%BB%99i.svg/330px-Logo_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_B%C3%A1ch_Khoa_H%C3%A0_N%E1%BB%99i.svg.png
uet,ĐH Công nghệ (ĐHQGHN),UET,https://thumb.wikimedia.org/wikipedia/vi/thumb/b/bf/Logo_HUET.svg/250px-Logo_HUET.svg.png
hus,ĐH Khoa học Tự nhiên (ĐHQGHN),HUS,https://thumb.wikimedia.org/wikipedia/vi/thumb/8/89/Logo_Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Khoa_h%E1%BB%8Dc_T%E1%BB%B1_nhi%C3%AAn%2C_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Qu%E1%BB%91c_gia_H%C3%A0_N%E1%BB%99i.svg/250px-Logo_Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Khoa_h%E1%BB%8Dc_T%E1%BB%B1_nhi%C3%AAn%2C_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Qu%E1%BB%91c_gia_H%C3%A0_N%E1%BB%99i.svg.png
neu,ĐH Kinh tế Quốc dân,NEU,https://upload.wikimedia.org/wikipedia/vi/3/30/Logo-NEU.PNG
ftu,ĐH Ngoại thương,FTU,https://thumb.wikimedia.org/wikipedia/vi/thumb/4/47/FTU_logo_2020.svg/500px-FTU_logo_2020.svg.png
bav,Học viện Ngân hàng,BAV,https://thumb.wikimedia.org/wikipedia/vi/thumb/d/d1/Ph%C3%B9_hi%E1%BB%87u_H%E1%BB%8Dc_vi%E1%BB%87n_Ng%C3%A2n_h%C3%A0ng.png/250px-Ph%C3%B9_hi%E1%BB%87u_H%E1%BB%8Dc_vi%E1%BB%87n_Ng%C3%A2n_h%C3%A0ng.png
aof,Học viện Tài chính,AOF,https://upload.wikimedia.org/wikipedia/commons/a/ae/H%E1%BB%8Dc_vi%E1%BB%87n_t%C3%A0i_ch%C3%ADnh.jpg
tmu,ĐH Thương mại,TMU,https://thumb.wikimedia.org/wikipedia/vi/thumb/2/2a/Logo_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Th%C6%B0%C6%A1ng_m%E1%BA%A1i.jpg/250px-Logo_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Th%C6%B0%C6%A1ng_m%E1%BA%A1i.jpg
ptit,Học viện Công nghệ Bưu chính Viễn thông,PTIT,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/13/Logo_PTIT_University.png/250px-Logo_PTIT_University.png
hlu,ĐH Luật Hà Nội,HLU,https://upload.wikimedia.org/wikipedia/vi/d/d7/DH_Luat_Ha_Noi.jpg
hmu,ĐH Y Hà Nội,HMU,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/79/Yhanoi.jpg/330px-Yhanoi.jpg
hup,ĐH Dược Hà Nội,HUP,https://upload.wikimedia.org/wikipedia/commons/6/64/LogoHUP.png
huce,ĐH Xây dựng Hà Nội,HUCE,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4b/LOGO_DHXD.png/250px-LOGO_DHXD.png
utc,ĐH Giao thông Vận tải,UTC,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fa/LogoUTC.jpg/500px-LogoUTC.jpg
ussh-hn,ĐH KHXH&NV (ĐHQGHN),USSH-HN,https://thumb.wikimedia.org/wikipedia/vi/thumb/2/23/Logo_of_VNU_Hanoi-USSH.svg/250px-Logo_of_VNU_Hanoi-USSH.svg.png
ulis,ĐH Ngoại ngữ (ĐHQGHN),ULIS,https://thumb.wikimedia.org/wikipedia/vi/thumb/8/8f/Logo_Tr%C6%B0%E1%BB%9Dng_%C4%91%E1%BA%A1i_h%E1%BB%8Dc_ngo%E1%BA%A1i_ng%E1%BB%AF%2C_%C4%90HQGHN.svg/250px-Logo_Tr%C6%B0%E1%BB%9Dng_%C4%91%E1%BA%A1i_h%E1%BB%8Dc_ngo%E1%BA%A1i_ng%E1%BB%AF%2C_%C4%90HQGHN.svg.png
ueb,ĐH Kinh tế (ĐHQGHN),UEB,https://thumb.wikimedia.org/wikipedia/vi/thumb/7/7d/Logo_DHKT200x200.svg/250px-Logo_DHKT200x200.svg.png
haui,ĐH Công nghiệp Hà Nội,HaUI,https://upload.wikimedia.org/wikipedia/commons/d/d6/Logo_DHCN.png
tlu,ĐH Thủy Lợi,TLU,https://upload.wikimedia.org/wikipedia/vi/b/bc/Logo-Thuy_Loi.png
